ApplicantNumber,subject,EssexScore_Avg,EssexScore_Max,EssexScore_TopK,ManchesterScore_Avg,ManchesterScore_Max,ManchesterScore_TopK,UCASScore_Avg,UCASScore_Max,UCASScore_TopK,CombinedScore_Avg,CombinedScore_Max,CombinedScore_TopK
1000,1,0.2502,0.5108,0.467,0.2278,0.495,0.4627,0.2292,0.4981,0.45,0.251,0.4925,0.4609
1001,2,0.2797,0.5713,0.5381,0.2183,0.4045,0.3869,,,,0.2779,0.564,0.5273
1002,3,,,,0.301,0.5665,0.4995,,,,0.2959,0.5516,0.4828
1003,4,0.2573,0.5056,0.469,0.2518,0.536,0.4892,0.2449,0.5983,0.5261,0.2651,0.5239,0.4886
1004,5,0.1538,0.4545,0.4377,0.1598,0.4704,0.4202,,,,0.1639,0.4595,0.4422
1005,6,0.1772,0.4138,0.3794,0.1736,0.4158,0.3818,0.1886,0.4876,0.4347,0.1861,0.4252,0.3756
1006,7,0.2719,0.4702,0.408,,,,0.2488,0.4228,0.3953,0.2674,0.442,0.3909
1007,8,0.2409,0.4305,0.4134,0.2655,0.491,0.4498,0.2453,0.4285,0.4152,0.2538,0.4496,0.4343
1008,9,0.3023,0.5507,0.5166,0.2757,0.5156,0.4578,0.2795,0.565,0.4877,0.2921,0.5285,0.4929
1009,10,0.211,0.4299,0.4242,0.2111,0.454,0.4193,0.2069,0.4669,0.4516,0.2286,0.4367,0.4338
1010,11,0.2379,0.5432,0.4722,0.2186,0.4854,0.4068,0.2228,0.483,0.438,0.2425,0.5418,0.4652
1011,12,0.2956,0.5671,0.5214,0.2439,0.4673,0.429,,,,0.2917,0.511,0.4838
1012,13,0.3219,0.5224,0.5043,0.2813,0.4747,0.4557,0.2948,0.5567,0.5498,0.3159,0.5037,0.4907
1013,14,0.2893,0.5055,0.4572,0.2685,0.5491,0.493,0.2676,0.528,0.4991,0.2833,0.5036,0.4517
1014,15,0.3382,0.6009,0.5722,0.26,0.4552,0.4482,,,,0.3424,0.6018,0.5714
1015,16,0.1948,0.4433,0.4047,0.2434,0.4631,0.4563,0.2165,0.4934,0.4234,0.2127,0.448,0.4256
1016,17,0.3117,0.4678,0.4339,0.3218,0.4425,0.4111,,,,0.3066,0.4367,0.4197
1017,18,0.2852,0.4403,0.4144,0.2553,0.4921,0.4298,0.3035,0.4814,0.463,0.2989,0.4787,0.4411
1018,19,0.2262,0.4529,0.4277,0.2484,0.4529,0.4252,0.1899,0.3487,0.3439,0.2304,0.4592,0.4302
1019,20,0.3352,0.5307,0.5125,,,,0.3246,0.5268,0.5095,0.3295,0.5065,0.4941
1020,21,0.2895,0.5917,0.5493,0.2662,0.5692,0.4901,0.2611,0.5662,0.4838,0.2773,0.5563,0.5168
1021,22,0.2327,0.5019,0.442,,,,0.2336,0.5587,0.4684,0.243,0.5039,0.4435
1022,23,0.2418,0.5367,0.4885,0.1953,0.4825,0.4473,0.2407,0.5478,0.5116,0.2383,0.5375,0.4844
1023,24,0.2308,0.4494,0.4299,0.2056,0.3979,0.3799,0.214,0.458,0.4232,0.2287,0.4275,0.4111
1024,25,0.2558,0.5467,0.4985,,,,0.2468,0.5327,0.5068,0.2561,0.5195,0.4795
1025,26,0.2022,0.446,0.3763,0.1692,0.4307,0.3512,0.1738,0.4398,0.3518,0.2006,0.4322,0.3723
1026,27,0.2373,0.5227,0.4263,0.2269,0.3684,0.3395,,,,0.2411,0.4809,0.4082
1027,28,0.2002,0.5475,0.4254,0.184,0.4485,0.3827,,,,0.2043,0.5451,0.4278
