statement_id,Academic Interests and Backgrounds,Work Experience,Leadership and Recognition,Awards and Prizes,Sporting Activities,Artistic Activities,Personal Circumstances and Adversity
1000,0.3,0.27,0.0,0.01,0.01,0.02,0.1
1001,0.09,0.09,0.05,0.11,0.11,0.06,0.08
1002,0.52,0.05,0.1,0.02,0.04,0.05,0.06
1003,0.16,0.12,0.07,0.0,0.07,0.0,0.28
1004,0.22,0.02,0.13,0.09,0.16,0.0,0.19
1005,0.22,0.0,0.19,0.11,0.18,0.02,0.13
1006,0.34,0.14,0.01,0.01,0.07,0.0,0.27
1007,0.24,0.1,0.03,0.04,0.19,0.07,0.11
1008,0.07,0.09,0.02,0.0,0.06,0.27,0.18
1009,0.17,0.11,0.06,0.07,0.22,0.08,0.12
1010,0.19,0.16,0.26,0.07,0.06,0.0,0.17
1011,0.36,0.08,0.02,0.0,0.02,0.11,0.18
1012,0.2,0.0,0.0,0.0,0.18,0.41,0.07
1013,0.38,0.07,0.06,0.04,0.04,0.06,0.12
1014,0.26,0.06,0.07,0.01,0.01,0.07,0.21
1015,0.2,0.16,0.11,0.05,0.08,0.08,0.2
1016,0.4,0.19,0.12,0.07,0.0,0.0,0.09
1017,0.4,0.11,0.11,0.02,0.02,0.12,0.14
1018,0.2,0.0,0.17,0.09,0.08,0.08,0.1
1019,0.51,0.06,0.0,0.09,0.0,0.09,0.02
1020,0.25,0.0,0.25,0.08,0.03,0.06,0.06
1021,0.18,0.06,0.13,0.03,0.15,0.06,0.09
1022,0.14,0.05,0.07,0.1,0.13,0.0,0.22
1023,0.16,0.05,0.06,0.07,0.1,0.07,0.19
1024,0.2,0.1,0.02,0.02,0.32,0.04,0.12
1025,0.21,0.06,0.04,0.02,0.18,0.07,0.18
1026,0.24,0.04,0.11,0.07,0.1,0.08,0.13
1027,0.14,0.1,0.03,0.08,0.16,0.01,0.17
