statement_id,sentence
1000,during this week i learned that there are several elements of the accountancy profession and that the career is very diverse.
,i am looking forward to the opportunity to gain more experience in my chosen career.
,"this was a challenging and interesting task, and one which taught me the importance of expertise in a chosen field."
,"however it was the unit ‘introduction to accounting’ which i most enjoyed and which, in retrospect, first sparked my interest in accounting."
,i have also met many new people and become friends with some of the regulars.
,"i would hope, however, never to be fired!"
1001,"‘nature has established patterns originating in the return of events, but only for the most part’."
,it is the latter part of gottfried von leibniz’s comment in 1703 that lays the foundations of the existence of risk.
,"it is, primarily, the most important application of mathematical concepts to real-life situations."
,"in particular, i enjoy carrying out chi-square tests to determine any association between two variables."
,"this is because of its complicated process, and the need to identify the necessary use of yates’ correction, or the grouping of data too small, to obtain accurate results."
,"i understand the actuary profession is not an easy one, but one that requires dedication and motivation, something i have proven to be great qualities of mine."
,"this will enable me to effectively convey my knowledge of complex financial information to non-specialists, essential for someone entering the actuarial profession."
,"my attraction to the degree, as well as my suitability to the career is clear."
,it is my desire to learn and my constant search for a challenge that draws me to this path.
,"13 did you know...  the starting salary of actuarial graduates is on average upwards of £30,000."
1002,"i would also like the opportunity to study another aspect of american studies, such as politics."
,"british and american politics have always interested me, but a-level politics was not available as an option at my school."
,"my friends are very important to me, and i enjoy spending time with them."
1003,why was a whole lobster sitting on a telephone?
,why did the virgin mary always seem to be wearing blue?
,the critical and contextual studies element of the course helped me to realise many answers to my questions and showed me the varied ways in which the images which held my attention could act to document the times in which they were made.
,"more literally, it is the artist and model lizzie siddal, lover of dante gabriel rossetti, posed in a bath in an antique dress."
,"my counter supervisor often asks me to help arrange various display stands of perfumery and makeup, and also asks for my comments on the ways in which these can be made most appealing."
,often i have been lucky enough to sell everything that i have produced and also to generate some additional orders!
1004,thankfully she recovered from the accident but only because she had a blood transfusion.
,"i am focused and determined, and am both accurate and efficient."
,maths has helped me to think logically and to develop my understanding of numerical information.
,i love spending time in the country walking my greyhounds mollie and vinnie.
,when i’m not walking the dog’s i can be found in the gym.
1005,from an early age i have been fascinated by biology.
,i can clearly recall spending time in the garden with my grandfather looking at bugs and creepy crawlies.
,"this was a great honour and i learnt many new skills, including public speaking."
1006,"‘management, culture and communication’ is the module that interested me the most this year and i have undertaken extensive further reading in my own time."
,i particularly enjoyed her views on manners and gift giving across the world.
